Country Name;Short Name;year;Record;Built-up Land;Cropland;Fishing Grounds;Forest Products;Grazing Land;Total;Data Quality Score;isoa2
Turkey;Turkey;1984;BiocapPerCap;0,026840115;0,963879583;0,067748598;0,875451459;0,124637687;2,058557441;3A;TR
Turkey;Turkey;1985;BiocapPerCap;0,027562611;0,973030917;0,065968669;0,855646225;0,126122474;2,048330896;3A;TR
Turkey;Turkey;1986;BiocapPerCap;0,030547599;1,054923146;0,064195349;0,836131776;0,127363547;2,113161417;3A;TR
Turkey;Turkey;1987;BiocapPerCap;0,031012389;1,067395962;0,062892348;0,820044008;0,130450139;2,111794846;3A;TR
Turkey;Turkey;1988;BiocapPerCap;0,0328224;1,10242693;0,061615979;0,80501478;0,127802719;2,129682808;3A;TR
Turkey;Turkey;1989;BiocapPerCap;0,026465045;0,87736587;0,060457475;0,790411545;0,130851933;1,885551868;3A;TR
Turkey;Turkey;1990;BiocapPerCap;0,032486167;1,050119536;0,059531162;0,773637043;0,128847057;2,044620966;3A;TR
Turkey;Turkey;1991;BiocapPerCap;0,032332012;1,019317391;0,058510395;0,760925426;0,126475084;1,997560308;3A;TR
Turkey;Turkey;1992;BiocapPerCap;0,031233835;0,960932156;0,058154468;0,75799083;0,125544371;1,93385566;3A;TR
Turkey;Turkey;1993;BiocapPerCap;0,033007681;0,991552062;0,057261217;0,747255595;0,123457465;1,95253402;3A;TR
Turkey;Turkey;1994;BiocapPerCap;0,031591889;0,927129745;0,056318648;0,735856665;0,121269626;1,872166573;3A;TR
Turkey;Turkey;1995;BiocapPerCap;0,031879042;0,914440781;0,055334333;0,72355178;0,118997532;1,844203468;3A;TR
Turkey;Turkey;1996;BiocapPerCap;0,033805821;0,948284292;0,054455168;0,713303066;0,116957003;1,866805351;3A;TR
Turkey;Turkey;1997;BiocapPerCap;0,032839251;0,901237718;0,053644023;0,70108133;0,115067516;1,803869838;3A;TR
Turkey;Turkey;1998;BiocapPerCap;0,037914941;1,018472684;0,052874537;0,689566957;0,113272022;1,91210114;3A;TR
Turkey;Turkey;1999;BiocapPerCap;0,033488177;0,880864883;0,052137168;0,677750596;0,111549749;1,755790574;3A;TR
Turkey;Turkey;2000;BiocapPerCap;0,03649325;0,940345688;0,051470921;0,666991524;0,109983767;1,80528515;3A;TR
Turkey;Turkey;2001;BiocapPerCap;0,033364061;0,8557271;0,050798384;0,656621338;0,10848226;1,704993142;3A;TR
Turkey;Turkey;2002;BiocapPerCap;0,035650034;0,910137576;0,050066378;0,648061442;0,106855548;1,750770978;3A;TR
Turkey;Turkey;2003;BiocapPerCap;0,034436;0,875104133;0,049133553;0,636441642;0,104802349;1,699917678;3A;TR
Turkey;Turkey;2004;BiocapPerCap;0,035362411;0,894536364;0,048381182;0,627053443;0,103136206;1,708469606;3A;TR
Turkey;Turkey;2005;BiocapPerCap;0,036373361;0,915920409;0,047524459;0,618049357;0,101249658;1,719117244;3A;TR
Turkey;Turkey;2006;BiocapPerCap;0,035488634;0,88959171;0,046850759;0,611680474;0,099754986;1,683366564;3A;TR
Turkey;Turkey;2007;BiocapPerCap;0,032046418;0,763622572;0,046251083;0,609443065;0,098478151;1,549841289;3A;TR
Turkey;Turkey;2008;BiocapPerCap;0,031048058;0,71986447;0,045834008;0,607309123;0,097590112;1,50164577;3A;TR
Turkey;Turkey;2009;BiocapPerCap;0,034575128;0,784512598;0,045450792;0,6027859;0,096774166;1,564098584;3A;TR
Turkey;Turkey;2010;BiocapPerCap;0,035564206;0,798553389;0,044663434;0,600530374;0,095097717;1,57440912;3A;TR
Turkey;Turkey;2011;BiocapPerCap;0,036952844;0,790523316;0,043689725;0,595120083;0,093024488;1,559310456;3A;TR
Turkey;Turkey;2012;BiocapPerCap;0,035576612;0,752597566;0,042886329;0,587830596;0,091313891;1,510204994;3A;TR
Turkey;Turkey;2013;BiocapPerCap;0,03710938;0,771385199;0,042266142;0,58075781;0,089993385;1,521511915;3A;TR
Turkey;Turkey;2014;BiocapPerCap;0,034092161;0,700821009;0,041666742;0,574034263;0,088717138;1,439331313;3A;TR
United States of America;United States;1961;BiocapPerCap;0,037655858;1,186466184;0,543022203;2,71403473;0,525664234;5,006843209;3A;US
United States of America;United States;1962;BiocapPerCap;0,037314852;1,136374252;0,533890211;2,67325613;0,516080515;4,89691596;3A;US
United States of America;United States;1963;BiocapPerCap;0,03883722;1,182538249;0,52482793;2,631883614;0,498952071;4,877039085;3A;US
United States of America;United States;1964;BiocapPerCap;0,036944299;1,100741637;0,517014682;2,595467293;0,489749405;4,739917316;3A;US
United States of America;United States;1965;BiocapPerCap;0,041214759;1,206847372;0,509034042;2,564809169;0,478252306;4,800157649;3A;US
United States of America;United States;1966;BiocapPerCap;0,040606248;1,167191787;0,503245879;2,538507438;0,474260553;4,723811904;3A;US
United States of America;United States;1967;BiocapPerCap;0,043877575;1,239574326;0,496646803;2,510202303;0,469484058;4,759785063;3A;US
United States of America;United States;1968;BiocapPerCap;0,043750398;1,26907935;0,490907246;2,477195764;0,45534968;4,736282437;3A;US
United States of America;United States;1969;BiocapPerCap;0,042688742;1,281950986;0,48299846;2,448007138;0,435578591;4,691223917;3A;US
United States of America;United States;1970;BiocapPerCap;0,040688216;1,207613767;0,479640501;2,421076491;0,431588901;4,580607875;3A;US
United States of America;United States;1971;BiocapPerCap;0,046197429;1,354699641;0,474654762;2,391988396;0,426188159;4,693728387;3A;US
United States of America;United States;1972;BiocapPerCap;0,045073167;1,306052469;0,472124999;2,363931378;0,423166881;4,610348894;3A;US
United States of America;United States;1973;BiocapPerCap;0,047764322;1,36835318;0,465147908;2,339162072;0,415878029;4,636305511;3A;US
United States of America;United States;1974;BiocapPerCap;0,042441965;1,201468892;0,46262981;2,307866706;0,412801064;4,427208438;3A;US
United States of America;United States;1975;BiocapPerCap;0,048616102;1,363920297;0,458244147;2,280634843;0,40888777;4,56030316;3A;US
United States of America;United States;1976;BiocapPerCap;0,048094249;1,336886421;0,453461275;2,252076121;0,40462005;4,495138116;3A;US
United States of America;United States;1977;BiocapPerCap;0,051251682;1,411814818;0,45126748;2,224205833;0,40282644;4,541366252;3A;US
United States of America;United States;1978;BiocapPerCap;0,051561233;1,424315335;0,447632192;2,194976718;0,393154128;4,511639606;3A;US
United States of America;United States;1979;BiocapPerCap;0,056565173;1,547617429;0,444108373;2,16463176;0,390059167;4,602981901;3A;US
United States of America;United States;1980;BiocapPerCap;0,051140326;1,385928617;0,439873832;2,123495995;0,386339982;4,386778753;3A;US
United States of America;United States;1981;BiocapPerCap;0,059277681;1,591362494;0,436576302;2,094376153;0,383443769;4,565036399;3A;US
United States of America;United States;1982;BiocapPerCap;0,061285356;1,623013328;0,430144214;2,068253706;0,383538595;4,566235198;3A;US
United States of America;United States;1983;BiocapPerCap;0,045234665;1,186744276;0,425061909;2,045323507;0,379006952;4,081371308;3A;US
United States of America;United States;1984;BiocapPerCap;0,058582542;1,522473667;0,418341639;2,020676714;0,373014815;4,393089377;3A;US
United States of America;United States;1985;BiocapPerCap;0,062702658;1,614063274;0,412194604;1,995012851;0,367533804;4,451507191;3A;US
United States of America;United States;1986;BiocapPerCap;0,057843783;1,474648791;0,405402757;1,966285182;0,361477845;4,265658358;3A;US
United States of America;United States;1987;BiocapPerCap;0,056790523;1,418419699;0,400994787;1,942972394;0,353932749;4,173110153;3A;US
United States of America;United States;1988;BiocapPerCap;0,045232332;1,118618329;0,396269999;1,92925642;0,349762477;3,839139557;3A;US
United States of America;United States;1989;BiocapPerCap;0,055096604;1,349106009;0,391916704;1,925808865;0,345917627;4,067845809;3A;US
United States of America;United States;1990;BiocapPerCap;0,060737974;1,472547833;0,388767238;1,921541886;0,343130154;4,186725085;3A;US
United States of America;United States;1991;BiocapPerCap;0,05610372;1,346774205;0,384352819;1,904998493;0,33923394;4,031463177;3A;US
United States of America;United States;1992;BiocapPerCap;0,064571568;1,521749395;0,384072741;1,911779247;0,338845302;4,221018252;3A;US
United States of America;United States;1993;BiocapPerCap;0,054116743;1,254286242;0,380000075;1,897681287;0,333446488;3,919530835;3A;US
United States of America;United States;1994;BiocapPerCap;0,0673194;1,5371089;0,375305624;1,88037452;0,327937339;4,188045783;3A;US
United States of America;United States;1995;BiocapPerCap;0,057010229;1,287272324;0,370034486;1,859184097;0,322064564;3,8955657;3A;US
United States of America;United States;1996;BiocapPerCap;0,064440774;1,415647743;0,365166357;1,84169495;0,316184037;4,003133862;3A;US
